"","participant_ID","ELR1...Q4.Time_Page.Submit","ELR1...Q3.Time_Page.Submit","ELR1...Q5.Time_Page.Submit","ELR1...Q6.Time_Page.Submit","ELR2...Q5.Time_Page.Submit","ELR2...Q4.Time_Page.Submit","ELR2...Q6.Time_Page.Submit","ELR2...Q3.Time_Page.Submit","ERL1...Q3.Time_Page.Submit","ERL1...Q5.Time_Page.Submit","ERL1...Q4.Time_Page.Submit","ERL1...Q6.Time_Page.Submit","ERL2...Q3.Time_Page.Submit","ERL2...Q4.Time_Page.Submit","ERL2...Q6.Time_Page.Submit","ERL2...Q5.Time_Page.Submit","ETB1...Q4.Time_Page.Submit","ETB1...Q3.Time_Page.Submit","ETB1...Q5.Time_Page.Submit","ETB1...Q6.Time_Page.Submit","ETB2...Q4.Time_Page.Submit","ETB2...Q6.Time_Page.Submit","ETB2...Q5.Time_Page.Submit","ETB2...Q3.Time_Page.Submit","ALR1..Q3.Time_Page.Submit","ALR1...Q4.Time_Page.Submit","ALR1...Q5.Time_Page.Submit","ALR1...Q6.Time_Page.Submit","ALR2...Q3.Time_Page.Submit","ALR2...Q4.Time_Page.Submit","ALR2...Q5.Time_Page.Submit","ALR2...Q6.Time_Page.Submit","ARL1...Q3.Time_Page.Submit","ARL1...Q4.Time_Page.Submit","ARL1..Q5.Time_Page.Submit","ARL1...Q6.Time_Page.Submit","ARL2...Q3.Time_Page.Submit","ARL2...Q4.Time_Page.Submit","ARL2...Q5.Time_Page.Submit","ARL2...Q6.Time_Page.Submit","ATB1...Q3.Time_Page.Submit","ATB1...Q4.Time_Page.Submit","ATB1...Q5.Time_Page.Submit","ATB1...Q6.Time_Page.Submit","ATB2...Q3.Time_Page.Submit","ATB2...Q4.Time_Page.Submit","ATB2...Q5.Time_Page.Submit","ATB2...Q6.Time_Page.Submit","ULR1...Q3.Time_Page.Submit","ULR1...Q4.Time_Page.Submit","ULR1...Q5.Time_Page.Submit","ULR1...Q6.Time_Page.Submit","ULR2...Q3.Time_Page.Submit","ULR2...Q4.Time_Page.Submit","ULR2..Q5.Time_Page.Submit","ULR2...Q6.Time_Page.Submit","URL1...Q3.Time_Page.Submit","URL1...Q4.Time_Page.Submit","URL1...Q5.Time_Page.Submit","URL1...Q6.Time_Page.Submit","URL2...Q3.Time_Page.Submit","URL2...Q4.Time_Page.Submit","URL2...Q5.Time_Page.Submit","URL2...Q6.Time_Page.Submit","UTB1...Q3.Time_Page.Submit","UTB1...Q4.Time_Page.Submit","UTB1...Q5.Time_Page.Submit","UTB1...Q6.Time_Page.Submit","UTB2...Q3.Time_Page.Submit","UTB2...Q4.Time_Page.Submit","UTB2...Q5.Time_Page.Submit","UTB2...Q6.Time_Page.Submit","ELR3...Q3.Time_Page.Submit","ELR3...Q4.Time_Page.Submit","ELR3...Q5.Time_Page.Submit","ELR3...Q6.Time_Page.Submit","ELR4...Q3.Time_Page.Submit","ELR4...Q4.Time_Page.Submit","ELR4...Q5.Time_Page.Submit","ELR4...Q6.Time_Page.Submit","ERL3...Q3.Time_Page.Submit","ERL3...Q4.Time_Page.Submit","ERL3...Q5.Time_Page.Submit","ERL3...Q6.Time_Page.Submit","ERL4...Q3.Time_Page.Submit","ERL4...Q4.Time_Page.Submit","ERL4...Q5.Time_Page.Submit","ERL4...Q6.Time_Page.Submit","ETB3...Q3.Time_Page.Submit","ETB3...Q4.Time_Page.Submit","ETB3...Q5.Time_Page.Submit","ETB.3...Q6.Time_Page.Submit","ETB4...Q3.Time_Page.Submit","ETB4...Q4.Time_Page.Submit","ETB4...Q5.Time_Page.Submit","ETB4...Q6.Time_Page.Submit","SC0","Median","Mean"
"11",19,25.566,28.7,372.838,15.244,40.075,17.864,14.895,22.937,26.783,47.89,21.694,32.798,13.718,9.533,17.811,4.376,20.19,17.55,32.228,29.359,23.132,12.914,37.838,23.785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.051,1.104,1.286,1.4,1.27,1.292,1.338,1.163,1.451,3.284,1.784,1.583,1.706,1.776,1.477,1.167,4.031,3.034,6.657,5.253,9.663,3.326,4.566,3.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,9.1495,22.2235833333333
"12",20,2.382,1.779,1.492,1.419,1.352,1.958,1.095,1.585,2.278,1.802,4.476,3.252,1.208,1.004,3.134,1.472,4.252,1.603,2.417,4.89,4.145,2.489,3.686,3.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38,0.824,1.237,1.37,1.947,5.643,1.965,6.558,1.445,1.65,1.651,1.706,1.584,1.006,48.652,1.95,2.769,4.666,2.86,2.601,2.493,3.051,2.982,2.549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,2.176,3.54486111111111
"13",21,15.323,13.5,37.587,14.356,26.202,27.166,39.988,18.303,75.717,37.235,19.726,17.276,30.772,11.794,15.993,81.785,40.991,21.505,24.752,25.083,30.18,13.04,37.906,16.578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.115,9.47,8.32,2.75,7.023,2.52,2.122,13.392,10.099,1.803,2.399,10.073,6.136,2.143,4.829,3.851,23.871,14.428,15.091,29.068,16.108,25.847,14.772,27.549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,17.7895,26.0301805555556
"14",22,3.929,3.975,1.756,4.562,1.42,1.401,1.027,1.931,8.096,1.296,1.873,1.038,3.136,1.285,1.275,2.377,2.622,2.982,2.532,2.332,2.081,2.104,2.369,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.167,1.464,1.173,1.235,1.08,0.893,1.358,0.975,0.903,2.182,1.239,1.14,1.301,2.196,3.143,1.624,16.939,8.762,143.645,4.027,2.503,3.376,3.124,3.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,2.0855,5.29386111111111
"15",23,1.064,0.99,1.422,1.656,1.153,1.135,1.119,1.187,31.371,4.679,1.69,1.477,1.719,2.181,1.574,1.095,11.729,3.284,5.185,2.962,2.853,2.929,3.47,2.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.685,1.161,1.263,1.037,1.448,0.924,1.022,1.072,13.017,2.588,1.054,1.108,0.998,0.95,1.292,1.561,2.813,3.231,3.718,13.384,2.355,2.526,2.733,2.307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1.7045,3.54204166666667
"16",24,17.3,19.479,31.835,16.318,35.369,16.219,27.595,20.57,24.005,23.956,21.022,17.111,40.476,19.743,18.091,29.586,18.636,42.616,63.952,21.532,19.249,18.795,27.392,30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.623,1.49,1.969,2.021,2.105,1.949,1.332,1.381,1.158,1.296,1.344,1.514,1.561,1.481,1.457,1.365,3.949,3.926,3.207,3.611,3.476,3.105,3.031,3.471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,8.1265,13.05825
"17",25,8.864,13.688,37.22,10.156,14.176,11.032,54.534,14.187,26,3.265,8.87,2.464,1.042,1.335,1.17,1.145,26.964,25.799,25.531,21.044,15.245,114.282,50.655,14.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.225,1.642,1.101,1.692,1.687,1.543,1.197,1.271,1.8,1.357,1.3,1.765,1.425,2.506,2.307,1.381,2.469,2.689,3.081,3.294,3.044,2.266,2.758,2.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,2.7235,9.60988888888889
"18",26,36.668,27.899,1759.551,19.943,17.123,23.696,13.546,54.443,40.596,99.641,26.885,16.699,39.179,20.245,45.271,12.067,40.319,21.415,48.407,19.368,17.472,27.698,29.515,55.663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.05,7.139,3.477,2.35,3.663,5.401,3.237,1.904,3.442,4.719,3.998,4.412,3.825,2.89,3.683,2.882,57.287,14.549,5.569,5.278,5.481,6.578,64.055,20.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,11.725,41.9320416666667
"19",28,85.357,52.109,25.693,55.301,117.188,49.936,95.285,140.177,984.506,1341.238,13.65,35.749,36.321,42.261,64.639,37.747,1949.236,38.447,52.766,20.9,29.621,19.034,20.453,56.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.853,1.392,1.503,19.603,13.089,1.432,3.219,5.64,5.044,44.177,4.286,6.407,6.773,1.791,2.374,2.403,170.881,4.558,13.302,24.661,120.712,3.518,3.452,13.507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,20.4865,91.9759305555556
"20",29,2.84,2.513,3.017,1.51,1.487,0.915,1.531,1.723,5.968,1.37,1.407,1.459,2.433,1.526,1.363,1.03,10.869,3.396,3.539,5.045,3.643,4.334,2.989,2.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64,1.226,1.723,2.136,1.405,1.194,1.471,1.151,1.735,1.048,1.859,1.189,1.792,12.633,1.687,80.181,3.135,2.802,2.488,2.677,3.206,2.901,2.447,2.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,2.4675,4.16161111111111
"21",30,1.853,1.958,1.379,2.206,2.357,2.835,1.167,1.603,1.122,1.656,2.035,1.589,1.503,1.123,1.274,1.137,2.355,2.844,4.264,3.532,2.86,2.302,2.802,2.631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.448,2.728,1.028,1.24,1.371,4.087,1.338,1.757,1.305,1.924,1.369,1.249,1.216,1.225,1.204,1.455,3.689,2.817,2.025,2.201,2.225,2.149,3.067,2.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1.9915,2.57395833333333
"22",32,14.601,25.789,41.105,14.803,29.63,9.257,27.383,16.201,14.394,38.783,29.071,16.987,18.854,10.281,14.935,36.554,50.771,24.104,17.804,8.407,24.665,9.539,61.933,14.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.068,0.884,1.207,1.366,1.122,1.081,0.893,1.047,4.394,1.636,1.366,8.38,43.576,1.362,1.49,1.358,5.7,2.754,2.536,1.801,2.495,3.702,2.991,1.804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,7.555,12.4156712328767
"23",34,4.403,8.275,3.67,1.878,2.59,2.464,17.434,4.007,9.692,4.456,4.556,2.823,3.804,2.52,15.998,4.884,1.77,7.135,4.541,5.356,5.303,8.3,4.523,5.253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.707,1.251,1.39,4.066,2.634,1.344,1.44,1.584,2.319,1.563,1.5,15.938,4.886,3.127,4.262,2.403,3.675,3.495,4.349,4.456,4.573,4.276,3.348,3.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,4.262,5.40478082191781
"24",36,1.483,1.73,1.519,1.406,1.776,1.466,1.582,1.552,1.282,1.835,1.345,1.491,1.739,2.186,4.357,7.099,18.044,19.863,23.021,4.154,3.101,2.535,22.2,2.573,1.803,1.216,1.517,1.528,1.038,1.267,57.878,0.966,1.279,2.525,1.151,1.089,1.625,1.537,1.264,69.88,3.71,5.246,13.792,3.521,2.834,2.993,2.521,2.187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,2.525,6.47339726027397
"25",38,1.539,2.168,0.883,0.914,0.953,1.24,0.961,1.157,65.584,0.925,0.938,0.903,1.73,1.284,1.12,0.782,6.485,2.516,2.497,3.297,2.166,2.645,2.098,2.18,0.904,1.181,1.344,1.185,0.9,0.797,1.979,0.886,0.909,0.83,0.674,0.558,1.339,1.272,0.712,1.106,2.357,3.114,2.276,1.989,1.803,2.851,1.65,1.473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,1.344,2.95328767123288
"26",40,1.559,1.656,1.427,2.258,2.257,1.377,1.399,2.416,2.556,1.782,1.365,1.333,1.761,1.565,2.71,1.548,8.16,4.534,4.119,3.464,4.059,3.01,3.379,2.94,1.3,1.289,1.21,1.118,1.103,1.015,1.437,1.48,1.316,0.885,1.229,1.143,1.627,1.569,1.504,1.432,3.966,2.656,2.418,2.793,2.248,2.743,2.402,2.746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,1.679,3.38898630136986
"27",41,2.562,3.636,2.835,2.713,3.235,1.9,2.352,3.442,2.667,1.989,1.776,2.493,2.896,1.719,2.401,1.937,6.268,4.696,11.472,5.331,5.306,3.658,6.099,4.333,1.483,1.928,1.424,1.613,1.5,1.743,1.301,1.478,2.812,1.876,1.687,2.194,1.839,1.671,1.544,2.27,4.466,3.533,3.343,2.996,2.641,10.993,7.077,2.634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,2.582,3.52076712328767
"28",42,15.436,22.288,27.172,8.401,18.545,21.201,11.985,19.101,17.285,25.537,16.492,89.345,20.401,13.781,8.559,15.778,22.166,31.475,29.047,13.85,10.701,10.602,20.382,13.65,2.5,1.801,1.67,1.897,3.498,1.997,1.4,1.528,3.559,1.742,2.001,1.786,1.753,1.664,1.5,1.501,4.271,18.555,6.982,10.26,13.402,19.656,7.501,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,8.287,14.0636164383562
"29",43,19.435,68.762,73.8,16.83,63.227,38.897,44.683,24.036,57.883,86.239,32.411,26.226,42.73,24.965,38.318,73.217,35.593,51.535,28.571,31.232,49.905,12.922,29.548,35.4,1.125,1.674,1.182,0.916,0.928,1.421,0.998,1.279,1.025,1.302,1.47,0.791,0.893,1.598,1.087,1.311,2.676,3.268,17.059,2.328,3.633,2.655,6.689,2.291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,9.131,18.4164657534247
